node_id,label,name,attrs,record_ids
CVE:CVE-2026-63077,Vulnerability,CVE-2026-63077,"{""cve_id"": ""CVE-2026-63077"", ""year"": 2026, ""cve_name"": ""JetBrains TeamCity Deserialization of Untrusted Data Vulnerability"", ""impacts"": [""Remote Code Execution""], ""attack_position"": [""remote"", ""unauthenticated""], ""end_of_life"": false, ""mentioned_only"": false}",27
VENDOR:jetbrains,Vendor,JetBrains,{},27
PRODUCT:teamcity,Product,TeamCity,{},27
CVE:CVE-2026-18556,Vulnerability,CVE-2026-18556,"{""cve_id"": ""CVE-2026-18556"", ""year"": 2026, ""cve_name"": ""N-able N-central Authentication Bypass Using an Alternate Path or Channel Vulnerability"", ""impacts"": [""Authentication Bypass""], ""attack_position"": [], ""end_of_life"": false, ""mentioned_only"": false}",28 31
VULNERABILITYCLASS:authentication bypass using an alternate path or channel,VulnerabilityClass,Authentication Bypass Using An Alternate Path Or Channel,"{""cwe_id"": ""CWE-288""}",28 31
VENDOR:n-able,Vendor,N-able,{},28 31
PRODUCT:n-central,Product,N-central,{},28 31
CVE:CVE-2026-34486,Vulnerability,CVE-2026-34486,"{""cve_id"": ""CVE-2026-34486"", ""year"": 2026, ""cve_name"": ""Apache Tomcat Missing Encryption of Sensitive Data Vulnerability"", ""impacts"": [""Authentication Bypass""], ""attack_position"": [], ""end_of_life"": false, ""mentioned_only"": false}",29
VULNERABILITYCLASS:missing encryption of sensitive data,VulnerabilityClass,Missing Encryption Of Sensitive Data,"{""cwe_id"": ""CWE-311""}",29
VENDOR:apache,Vendor,Apache,{},29
PRODUCT:tomcat,Product,Tomcat,{},29
CVE:CVE-2025-24813,Vulnerability,CVE-2025-24813,"{""cve_id"": ""CVE-2025-24813"", ""year"": 2025, ""mentioned_only"": true}",29
